,Course,Section,Building Code,Room Number,Meeting Days,Start Time,Finish Time
0,AASP100,0101,WDS,1114,MWF,10:00am,10:50am
1,AASP100,0201,TYD,1101,MWF,12:00pm,12:50pm
2,AASP100,0301,LEF,1201,TuTh,9:30am,10:45am
3,AASP100,0401,HBK,0109,TuTh,12:30pm,1:45pm
4,AASP100,0501,SYM,0215,TuTh,11:00am,12:15pm
5,AASP100,0601,PLS,1117,TuTh,2:00pm,3:15pm
6,AASP100H,0101,HBK,0109,TuTh,12:30pm,1:45pm
7,AASP101,0101,SQH,1121,TuTh,11:00am,12:15pm
8,AASP187,0101,TYD,0117,TuTh,3:00pm,4:15pm
9,AASP189I,0101,TYD,0102,TuTh,9:30am,10:45am
10,AASP200,0101,ARC,1103,MW,12:00pm,1:15pm
11,AASP202,0101,TYD,1101,MWF,11:00am,11:50am
12,AASP202,0102,SQH,1107,MWF,1:00pm,1:50pm
13,AASP202,0103,ARC,1105,TuTh,11:00am,12:15pm
14,AASP202,0104,LEF,1201,TuTh,2:00pm,3:15pm
15,AASP202H,0101,ARC,1105,TuTh,11:00am,12:15pm
16,AASP274,0101,NCC,0120,TuTh,9:30am,10:45am
17,AASP297,0101,TLF,1102,TuTh,11:00am,12:15pm
18,AASP298B,0101,JMZ,0103,W,6:00pm,8:30pm
19,AASP298C,0101,KEY,0103,TuTh,11:00am,12:15pm
20,AASP298L,0201,JMZ,0208,MWF,12:00pm,12:50pm
21,AASP298V,0101,NCC,0130,W,1:00pm,4:00pm
22,AASP301,0101,TLF,1101,W,6:30pm,9:00pm
23,AASP313,0101,KEY,0103,M,6:00pm,8:30pm
24,AASP314,0101,SQH,1121,W,4:00pm,6:30pm
25,AASP386,0101,ASY,3221,Th,10:00am,12:30pm
26,AASP395,0101,WDS,1131,TuTh,11:00am,12:15pm
27,AASP396,0101,TLF,1102,W,3:00pm,5:30pm
28,AASP398Q,0101,TYD,1114,Th,4:00pm,6:30pm
29,AASP400H,0101,KEY,0100,TuTh,12:30pm,1:45pm
30,AASP498O,0101,TYD,1118,W,4:00pm,6:30pm
